marca_temporal;correo;docente;pregunta1;pregunta2;pregunta3;pregunta4;pregunta5;pregunta6;pregunta7;pregunta8;pregunta9;pregunta10;pregunta11;pregunta12
12/17/2024 15:59:48;eh2002is901@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;4;3;4;2;5;4;5;3;4;4;5;En este recuadro, van mis comentarios 1
12/17/2024 15:59:42;eh2002is902@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;5;4;5;3;4;5;4;4;5;5;4;En este recuadro, van mis comentarios 2
12/17/2024 15:59:43;eh2002is903@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;4;5;4;4;3;4;3;5;4;4;3;En este recuadro, van mis comentarios 3
12/17/2024 15:59:44;eh2002is904@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;3;4;3;5;2;3;2;4;3;3;2;En este recuadro, van mis comentarios 4
12/17/2024 15:59:45;eh2002is905@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;2;3;2;4;1;2;1;3;2;2;1;En este recuadro, van mis comentarios 5
12/17/2024 15:59:46;eh2002is906@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;1;2;1;3;2;1;2;2;1;1;2;En este recuadro, van mis comentarios 6
12/17/2024 15:59:47;eh2002is907@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;2;1;2;2;3;2;3;1;2;2;3;En este recuadro, van mis comentarios 7
12/17/2024 15:59:47;eh2002is908@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;2;1;2;2;3;2;3;1;2;2;3;En este recuadro, van mis comentarios 8
12/17/2024 15:59:47;eh2002is909@ueh.edu.mx;Edgar Hernández Martínez-Base de Datos III-ISC901;2;1;2;2;3;2;3;1;2;2;3;En este recuadro, van mis comentarios 9
12/17/2024 15:59:47;eh2002is909@ueh.edu.mx;Edgar Mendoza Flores-Redes II-ISC901;2;1;2;2;3;2;3;1;2;2;3;En este recuadro, van mis comentarios 1
